catchment,site,id,type,rank,date,total_capacity,production,liquid_capacity,cake_capacity
YORK NABURN/STW,GOATHLAND/NO 3 STW,216,STW,1,06/07/2020,0.054,0.034128,0,0
YORK NABURN/STW,GREAT BARUGH/STW,222,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,GREAT EDSTONE/STW,223,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,GREAT HABTON/STW,224,STW,1,06/07/2020,0.026,0.016432,0,0
YORK NABURN/STW,GROSMONT/STW,234,STW,1,06/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,HARDSTRUGGLE COTTAGE/STW,245,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,HAROME/STW,249,STW,1,06/07/2020,0.224,0.141568,0,0
YORK NABURN/STW,HARROGATE SOUTH/STW,251,STF/D,3,06/07/2020,4.510997752,2.537,0,0
YORK NABURN/STW,HAWES/STW,253,STW,1,06/07/2020,0.188,0.118816,0,0
YORK NABURN/STW,HAXBY WALBUTTS/STW,254,STW,1,06/07/2020,2.884,1.822688,0,0
YORK NABURN/STW,HAYTON/STW,256,STW,1,06/07/2020,0.008,0.005056,0,0
YORK NABURN/STW,HEALAUGH TADCASTER/STW,258,STW,1,06/07/2020,0.014,0.008848,0,0
YORK NABURN/STW,HELMSLEY/STW,261,STW,1,06/07/2020,0.256,0.161792,0,0
YORK NABURN/STW,HELPERBY/STW,262,STW,1,06/07/2020,0.096,0.060672,0,0
YORK NABURN/STW,HILL VIEW/STW,269,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,HINDERWELL/STW,271,STW,1,06/07/2020,0.298,0.188336,0,0
YORK NABURN/STW,HOLME ON SPALDING MR/STW,275,STW,1,06/07/2020,0.424,0.267968,0,0
YORK NABURN/STW,HOLTBY/STW,279,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,HOVINGHAM/STW,289,STW,1,06/07/2020,0.056,0.035392,0,0
YORK NABURN/STW,HOWSHAM/STW,292,STW,1,06/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,HUNSINGORE/STW,300,STW,1,06/07/2020,0.032,0.020224,0,0
YORK NABURN/STW,HUSTHWAITE/STW,302,STW,1,06/07/2020,0.05,0.0316,0,0
YORK NABURN/STW,HUTTON LE HOLE/STW,303,STW,1,06/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,HUTTONS AMBO/STW,304,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,KELDSYKE/STW,312,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,KELFIELD/STW,313,STW,1,06/07/2020,0.238,0.150416,0,0
YORK NABURN/STW,KEXBY/STW,315,STW,1,06/07/2020,0.008,0.005056,0,0
YORK NABURN/STW,KIRBY MISPERTON/STW,322,STW,1,06/07/2020,0.026,0.016432,0,0
YORK NABURN/STW,KIRKBYMOORSIDE/STW,329,STW,1,06/07/2020,0.404,0.255328,0,0
YORK NABURN/STW,LASTINGHAM/STW,339,STW,1,06/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,LEALHOLM/STW,341,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,LEAVENING/STW,342,STW,1,06/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,LINTON ON OUSE/STW,353,STW,1,06/07/2020,0.314,0.198448,0,0
YORK NABURN/STW,LITTLE BARUGH/STW,354,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,LOCKTON/STW,358,STW,1,06/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,MALTON/STW,368,STF/T,2,06/07/2020,6.96,1.62,4,0
YORK NABURN/STW,MARKET WEIGHTON/NO 2 STW,370,STF/T,2,06/07/2020,1.04,0.52,1,0
YORK NABURN/STW,MARTON/STW,374,STW,1,06/07/2020,0.008,0.005056,0,0
YORK NABURN/STW,MELBOURNE/STW,377,STW,1,06/07/2020,0.378,0.238896,0,0
YORK NABURN/STW,MICKLEBY/STW,382,STW,1,06/07/2020,0.018,0.011376,0,0
YORK NABURN/STW,MOOR MONKTON/STW,390,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,NEWHOLM/STW,401,STW,1,06/07/2020,0.016,0.010112,0,0
YORK NABURN/STW,NEWTON RAWCLIFFE/STW,404,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,NORTH DUFFIELD/STW,410,STW,1,06/07/2020,0.22,0.13904,0,0
YORK NABURN/STW,OLDSTEAD/STW,427,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,OSWALDKIRK/STW,431,STW,1,06/07/2020,0.028,0.017696,0,0
YORK NABURN/STW,OULSTON/STW,435,STW,1,06/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,PICKERING/STW,440,STW,1,06/07/2020,1.12,0.70784,0,0
YORK NABURN/STW,POCKLINGTON/STW,442,STW,1,06/07/2020,1.564,0.988448,0,0
YORK NABURN/STW,RAWCLIFFE YORK/STW,453,STF/T,2,06/07/2020,3.778,1.889,1,0
YORK NABURN/STW,RILLINGTON/STW,460,STW,1,06/07/2020,0.176,0.111232,0,0
YORK NABURN/STW,ROSEDALE ABBEY/STW,466,STW,1,06/07/2020,0.052,0.032864,0,0
YORK NABURN/STW,ROSEDALE/STW,467,STW,1,06/07/2020,0.016,0.010112,0,0
YORK NABURN/STW,RUFFORTH/STW,469,STW,1,06/07/2020,0.156,0.098592,0,0
YORK NABURN/STW,RYTHER/STW,471,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,SAND HUTTON/STW,473,STW,1,06/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,SCRAYINGHAM/STW,480,STW,1,06/07/2020,0.012,0.007584,0,0
YORK NABURN/STW,SELBY/STW,486,STF/D,3,06/07/2020,3.122994129,1.488,0,0
YORK NABURN/STW,SETTRINGTON/STW,487,STW,1,06/07/2020,0.07,0.04424,0,0
YORK NABURN/STW,SHERBURN/STW,491,STW,1,06/07/2020,0.112,0.070784,0,0
YORK NABURN/STW,SHERIFF HUTTON/STW,492,STW,1,06/07/2020,0.12,0.07584,0,0
YORK NABURN/STW,SHIPTON/NO 2 STW,493,STW,1,06/07/2020,0.118,0.074576,0,0
YORK NABURN/STW,SINNINGTON/STW,496,STW,1,06/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,SLINGSBY/NO 2 STW,504,STW,1,06/07/2020,0.09,0.05688,0,0
YORK NABURN/STW,SPROXTON/STW,510,STW,1,06/07/2020,0.014,0.008848,0,0
YORK NABURN/STW,STAMFORD BRIDGE/NO 2 STW,512,STW,1,06/07/2020,0.732,0.462624,0,0
YORK NABURN/STW,STEARSBY/STW,518,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,STILLINGTON/STW,519,STW,1,06/07/2020,0.102,0.064464,0,0
YORK NABURN/STW,SUTTON ON THE FOREST/STW,527,STW,1,06/07/2020,0.226,0.142832,0,0
YORK NABURN/STW,TADCASTER/DOMESTIC STW,534,STW,1,06/07/2020,1.364,0.862048,0,0
YORK NABURN/STW,TERRINGTON/STW,538,STW,1,06/07/2020,0.07,0.04424,0,0
YORK NABURN/STW,THOLTHORPE/STW,545,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,THORGANBY/STW,547,STW,1,06/07/2020,0.012,0.007584,0,0
YORK NABURN/STW,THORNTON LE DALE/STW,551,STW,1,06/07/2020,0.034,0.021488,0,0
YORK NABURN/STW,THORP ARCH/STW,555,STW,1,06/07/2020,1.532,0.968224,0,0
YORK NABURN/STW,THORPE WILLOUGHBY/STW,556,STW,1,06/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,TOLLERTON/STW,561,STW,1,06/07/2020,0.246,0.155472,0,0
YORK NABURN/STW,UGTHORPE/STW,567,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,WARTHILL/STW,573,STW,1,06/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,WASS/NO 2 STW,574,STW,1,06/07/2020,0.018,0.011376,0,0
YORK NABURN/STW,WEAVERTHORPE/STW,581,STW,1,06/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,WELBURN/STW,584,STW,1,06/07/2020,0.068,0.042976,0,0
YORK NABURN/STW,WEST LUTTON/STW,596,STW,1,06/07/2020,0.03,0.01896,0,0
YORK NABURN/STW,WESTERDALE/STW,600,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,WESTOW/STW,601,STW,1,06/07/2020,0.04,0.02528,0,0
YORK NABURN/STW,WHELDRAKE/STW,606,STW,1,06/07/2020,0.298,0.188336,0,0
YORK NABURN/STW,WHENBY/NO 2 STW,607,STW,1,06/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,WHITBY/STW,608,STF/D,3,06/07/2020,4.335505295,1.417,4,0
YORK NABURN/STW,WILBERFOSS/STW,610,STW,1,06/07/2020,0.428,0.270496,0,0
YORK NABURN/STW,WISTOW/STW,612,STW,1,06/07/2020,0.162,0.102384,0,0
YORK NABURN/STW,YEARSLEY/STW,624,STW,1,06/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,YORK NABURN/STW,625,STC,4,06/07/2020,10.635,10.635,19,9.9
YORK NABURN/STW,ACKLAM/STW,2,STW,1,07/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,AMPLEFORTH VILLAGE/STW,14,STW,1,07/07/2020,0.1,0.0632,0,0
YORK NABURN/STW,APPLETON LE MOOR/STW,16,STW,1,07/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,ASKHAM BRYAN/STW,21,STW,1,07/07/2020,0.23,0.14536,0,0
YORK NABURN/STW,BARLBY/STW,33,STW,1,07/07/2020,1.134,0.716688,0,0
YORK NABURN/STW,BARTON LE WILLOW/STW,39,STW,1,07/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,BEVERLEY ROAD NORTON/STW,51,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,BISHOP WILTON/STW,55,STW,1,07/07/2020,0.062,0.039184,0,0
YORK NABURN/STW,BOTTON/STW,64,STW,1,07/07/2020,0.042,0.026544,0,0
YORK NABURN/STW,BRANDESBURTON/STW,66,STW,1,07/07/2020,0.322,0.203504,0,0
YORK NABURN/STW,BRANDSBY/STW,67,STW,1,07/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,BUBWITH/STW,76,STW,1,07/07/2020,0.138,0.087216,0,0
YORK NABURN/STW,BUGTHORPE/STW,78,STW,1,07/07/2020,0.012,0.007584,0,0
YORK NABURN/STW,BURLEY IN WHARFEDALE/STW,79,STW,1,07/07/2020,1.722,1.088304,0,0
YORK NABURN/STW,BUTTERCRAMBE/STW,89,STW,1,07/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,CADEBY/STW,90,STW,1,07/07/2020,0.028,0.017696,0,0
YORK NABURN/STW,CLAXTON/STW,113,STW,1,07/07/2020,0.026,0.016432,0,0
YORK NABURN/STW,COMMONDALE/STW,120,STW,1,07/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,CONEYSTHORPE/STW,121,STW,1,07/07/2020,0.032,0.020224,0,0
YORK NABURN/STW,COXWOLD/STW,130,STW,1,07/07/2020,0.024,0.015168,0,0
YORK NABURN/STW,CRAMBE/STW,132,STW,1,07/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,CRAMBECK VILLAGE/STW,133,STW,1,07/07/2020,0.024,0.015168,0,0
YORK NABURN/STW,CRAYKE/STW,135,STW,1,07/07/2020,0.056,0.035392,0,0
YORK NABURN/STW,DANBY/STW,143,STW,1,07/07/2020,0.132,0.083424,0,0
YORK NABURN/STW,DEIGHTON GROVE/STW,149,STW,1,07/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,DISHFORTH/STW,153,STW,1,07/07/2020,0.088,0.055616,0,0
YORK NABURN/STW,DUGGLEBY/STW,160,STW,1,07/07/2020,0.024,0.015168,0,0
YORK NABURN/STW,EASINGWOLD/STW,166,STW,1,07/07/2020,0.79,0.49928,0,0
YORK NABURN/STW,EAST BARNBY/STW,167,STW,1,07/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,EGGBOROUGH/STW,176,STW,1,07/07/2020,0.77,0.48664,0,0
YORK NABURN/STW,EGTON BRIDGE/STW,177,STW,1,07/07/2020,0.048,0.030336,0,0
YORK NABURN/STW,ELLERTON/STW,180,STW,1,07/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,ELVINGTON/STW,182,STW,1,07/07/2020,0.172,0.108704,0,0
YORK NABURN/STW,ELVINGTON/WTW STW,183,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,ESCRICK/STW,185,STW,1,07/07/2020,0.236,0.149152,0,0
YORK NABURN/STW,FARLINGTON/STW,187,STW,1,07/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,FIRBY/STW,192,STW,1,07/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,FLASK INN/STW,195,STW,1,07/07/2020,0.042,0.026544,0,0
YORK NABURN/STW,FLAXTON/STW,197,STW,1,07/07/2020,0.034,0.021488,0,0
YORK NABURN/STW,FOSTON/STW,201,STW,1,07/07/2020,0.05,0.0316,0,0
YORK NABURN/STW,FRIDAYTHORPE/STW,204,STW,1,07/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,GANTON/STW,205,STW,1,07/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,GILLAMOOR/STW,212,STW,1,07/07/2020,0.032,0.020224,0,0
YORK NABURN/STW,GILLING EAST/STW,213,STW,1,07/07/2020,0.036,0.022752,0,0
YORK NABURN/STW,GLAISDALE/STW,215,STW,1,07/07/2020,0.06,0.03792,0,0
YORK NABURN/STW,GOATHLAND/NO 3 STW,216,STW,1,07/07/2020,0.054,0.034128,0,0
YORK NABURN/STW,GREAT BARUGH/STW,222,STW,1,07/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,GREAT EDSTONE/STW,223,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,GREAT HABTON/STW,224,STW,1,07/07/2020,0.026,0.016432,0,0
YORK NABURN/STW,GROSMONT/STW,234,STW,1,07/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,HARDSTRUGGLE COTTAGE/STW,245,STW,1,07/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,HAROME/STW,249,STW,1,07/07/2020,0.224,0.141568,0,0
YORK NABURN/STW,HARROGATE SOUTH/STW,251,STF/D,3,07/07/2020,4.510997752,2.537,0,0
YORK NABURN/STW,HAWES/STW,253,STW,1,07/07/2020,0.188,0.118816,0,0
YORK NABURN/STW,HAXBY WALBUTTS/STW,254,STW,1,07/07/2020,2.884,1.822688,0,0
YORK NABURN/STW,HAYTON/STW,256,STW,1,07/07/2020,0.008,0.005056,0,0
YORK NABURN/STW,HEALAUGH TADCASTER/STW,258,STW,1,07/07/2020,0.014,0.008848,0,0
YORK NABURN/STW,HELMSLEY/STW,261,STW,1,07/07/2020,0.256,0.161792,0,0
YORK NABURN/STW,HELPERBY/STW,262,STW,1,07/07/2020,0.096,0.060672,0,0
YORK NABURN/STW,HILL VIEW/STW,269,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,HINDERWELL/STW,271,STW,1,07/07/2020,0.298,0.188336,0,0
YORK NABURN/STW,HOLME ON SPALDING MR/STW,275,STW,1,07/07/2020,0.424,0.267968,0,0
YORK NABURN/STW,HOLTBY/STW,279,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,HOVINGHAM/STW,289,STW,1,07/07/2020,0.056,0.035392,0,0
YORK NABURN/STW,HOWSHAM/STW,292,STW,1,07/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,HUNSINGORE/STW,300,STW,1,07/07/2020,0.032,0.020224,0,0
YORK NABURN/STW,HUSTHWAITE/STW,302,STW,1,07/07/2020,0.05,0.0316,0,0
YORK NABURN/STW,HUTTON LE HOLE/STW,303,STW,1,07/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,HUTTONS AMBO/STW,304,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,KELDSYKE/STW,312,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,KELFIELD/STW,313,STW,1,07/07/2020,0.238,0.150416,0,0
YORK NABURN/STW,KEXBY/STW,315,STW,1,07/07/2020,0.008,0.005056,0,0
YORK NABURN/STW,KIRBY MISPERTON/STW,322,STW,1,07/07/2020,0.026,0.016432,0,0
YORK NABURN/STW,KIRKBYMOORSIDE/STW,329,STW,1,07/07/2020,0.404,0.255328,0,0
YORK NABURN/STW,LASTINGHAM/STW,339,STW,1,07/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,LEALHOLM/STW,341,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,LEAVENING/STW,342,STW,1,07/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,LINTON ON OUSE/STW,353,STW,1,07/07/2020,0.314,0.198448,0,0
YORK NABURN/STW,LITTLE BARUGH/STW,354,STW,1,07/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,LOCKTON/STW,358,STW,1,07/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,MALTON/STW,368,STF/T,2,07/07/2020,6.96,1.62,4,0
YORK NABURN/STW,MARKET WEIGHTON/NO 2 STW,370,STF/T,2,07/07/2020,1.04,0.52,1,0
YORK NABURN/STW,MARTON/STW,374,STW,1,07/07/2020,0.008,0.005056,0,0
YORK NABURN/STW,MELBOURNE/STW,377,STW,1,07/07/2020,0.378,0.238896,0,0
YORK NABURN/STW,MICKLEBY/STW,382,STW,1,07/07/2020,0.018,0.011376,0,0
YORK NABURN/STW,MOOR MONKTON/STW,390,STW,1,07/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,NEWHOLM/STW,401,STW,1,07/07/2020,0.016,0.010112,0,0
YORK NABURN/STW,NEWTON RAWCLIFFE/STW,404,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,NORTH DUFFIELD/STW,410,STW,1,07/07/2020,0.22,0.13904,0,0
YORK NABURN/STW,OLDSTEAD/STW,427,STW,1,07/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,OSWALDKIRK/STW,431,STW,1,07/07/2020,0.028,0.017696,0,0
YORK NABURN/STW,OULSTON/STW,435,STW,1,07/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,PICKERING/STW,440,STW,1,07/07/2020,1.12,0.70784,0,0
YORK NABURN/STW,POCKLINGTON/STW,442,STW,1,07/07/2020,1.564,0.988448,0,0
YORK NABURN/STW,RAWCLIFFE YORK/STW,453,STF/T,2,07/07/2020,3.778,1.889,1,0
YORK NABURN/STW,RILLINGTON/STW,460,STW,1,07/07/2020,0.176,0.111232,0,0
YORK NABURN/STW,ROSEDALE ABBEY/STW,466,STW,1,07/07/2020,0.052,0.032864,0,0
YORK NABURN/STW,ROSEDALE/STW,467,STW,1,07/07/2020,0.016,0.010112,0,0
YORK NABURN/STW,RUFFORTH/STW,469,STW,1,07/07/2020,0.156,0.098592,0,0
YORK NABURN/STW,RYTHER/STW,471,STW,1,07/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,SAND HUTTON/STW,473,STW,1,07/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,SCRAYINGHAM/STW,480,STW,1,07/07/2020,0.012,0.007584,0,0
YORK NABURN/STW,SELBY/STW,486,STF/D,3,07/07/2020,3.122994129,1.488,0,0
YORK NABURN/STW,SETTRINGTON/STW,487,STW,1,07/07/2020,0.07,0.04424,0,0
YORK NABURN/STW,SHERBURN/STW,491,STW,1,07/07/2020,0.112,0.070784,0,0
YORK NABURN/STW,SHERIFF HUTTON/STW,492,STW,1,07/07/2020,0.12,0.07584,0,0
YORK NABURN/STW,SHIPTON/NO 2 STW,493,STW,1,07/07/2020,0.118,0.074576,0,0
YORK NABURN/STW,SINNINGTON/STW,496,STW,1,07/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,SLINGSBY/NO 2 STW,504,STW,1,07/07/2020,0.09,0.05688,0,0
YORK NABURN/STW,SPROXTON/STW,510,STW,1,07/07/2020,0.014,0.008848,0,0
YORK NABURN/STW,STAMFORD BRIDGE/NO 2 STW,512,STW,1,07/07/2020,0.732,0.462624,0,0
YORK NABURN/STW,STEARSBY/STW,518,STW,1,07/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,STILLINGTON/STW,519,STW,1,07/07/2020,0.102,0.064464,0,0
YORK NABURN/STW,SUTTON ON THE FOREST/STW,527,STW,1,07/07/2020,0.226,0.142832,0,0
YORK NABURN/STW,TADCASTER/DOMESTIC STW,534,STW,1,07/07/2020,1.364,0.862048,0,0
YORK NABURN/STW,TERRINGTON/STW,538,STW,1,07/07/2020,0.07,0.04424,0,0
YORK NABURN/STW,THOLTHORPE/STW,545,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,THORGANBY/STW,547,STW,1,07/07/2020,0.012,0.007584,0,0
YORK NABURN/STW,THORNTON LE DALE/STW,551,STW,1,07/07/2020,0.034,0.021488,0,0
YORK NABURN/STW,THORP ARCH/STW,555,STW,1,07/07/2020,1.532,0.968224,0,0
YORK NABURN/STW,THORPE WILLOUGHBY/STW,556,STW,1,07/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,TOLLERTON/STW,561,STW,1,07/07/2020,0.246,0.155472,0,0
YORK NABURN/STW,UGTHORPE/STW,567,STW,1,07/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,WARTHILL/STW,573,STW,1,07/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,WASS/NO 2 STW,574,STW,1,07/07/2020,0.018,0.011376,0,0
YORK NABURN/STW,WEAVERTHORPE/STW,581,STW,1,07/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,WELBURN/STW,584,STW,1,07/07/2020,0.068,0.042976,0,0
YORK NABURN/STW,WEST LUTTON/STW,596,STW,1,07/07/2020,0.03,0.01896,0,0
YORK NABURN/STW,WESTERDALE/STW,600,STW,1,07/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,WESTOW/STW,601,STW,1,07/07/2020,0.04,0.02528,0,0
YORK NABURN/STW,WHELDRAKE/STW,606,STW,1,07/07/2020,0.298,0.188336,0,0
YORK NABURN/STW,WHENBY/NO 2 STW,607,STW,1,07/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,WHITBY/STW,608,STF/D,3,07/07/2020,4.335505295,1.417,4,0
YORK NABURN/STW,WILBERFOSS/STW,610,STW,1,07/07/2020,0.428,0.270496,0,0
YORK NABURN/STW,WISTOW/STW,612,STW,1,07/07/2020,0.162,0.102384,0,0
YORK NABURN/STW,YEARSLEY/STW,624,STW,1,07/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,YORK NABURN/STW,625,STC,4,07/07/2020,10.635,10.635,19,9.9
YORK NABURN/STW,ACKLAM/STW,2,STW,1,08/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,AMPLEFORTH VILLAGE/STW,14,STW,1,08/07/2020,0.1,0.0632,0,0
