catchment,site,id,type,rank,date,total_capacity,production,liquid_capacity,cake_capacity
SANDALL/STW,BEARSWOOD GROVE/STW,42,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,BECKWITHSHAW/STW,43,STW,1,06/07/2020,0.028,0.017696,0,0
BRADFORD ESHOLT/NO 2 STW,BEDALE/STW,44,STW,1,06/07/2020,0.75,0.474,0,0
HULL/STW,BEEFORD/STW,45,STW,1,06/07/2020,0.24,0.15168,0,0
HUDDERSFIELD/NO 2 STF,BEGGARINGTON/STW,46,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,BELL BUSK/STW,47,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,BELLERBY/STW,48,STW,1,06/07/2020,0.056,0.035392,0,0
BRADFORD ESHOLT/NO 2 STW,BEN RHYDDING/STW,49,STW,1,06/07/2020,0.58,0.36656,0,0
SANDALL/STW,BENTLEY/STW,50,STW,1,06/07/2020,2.858,1.806256,0,0
YORK NABURN/STW,BEVERLEY ROAD NORTON/STW,51,STW,1,06/07/2020,0.02,0.01264,0,0
HULL/STW,BEVERLEY/STW,52,STF/D,3,06/07/2020,5.932499258,2.7,0,0
BRIDLINGTON/STW,BEWHOLME/STW,53,STW,1,06/07/2020,0.014,0.008848,0,0
BRADFORD ESHOLT/NO 2 STW,BISHOP MONKTON/NO 2 STW,54,STW,1,06/07/2020,0.104,0.065728,0,0
YORK NABURN/STW,BISHOP WILTON/STW,55,STW,1,06/07/2020,0.062,0.039184,0,0
BLACKBURN MEADOWS/STW,BLACKBURN MEADOWS/STW,56,STC,4,06/07/2020,50,33.868,12.4,6.6
BRADFORD ESHOLT/NO 2 STW,BLAND HILL/STW,57,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,BLUBBERHOUSES HALL/STW,58,STW,1,06/07/2020,0.02,0.01264,0,0
HUDDERSFIELD/NO 2 STF,BLUBBERHOUSES/STW,59,STW,1,06/07/2020,0.012,0.007584,0,0
BLACKBURN MEADOWS/STW,BOLSOVER/STW,60,STW,1,06/07/2020,1.496,0.945472,0,0
ALDWARKE/STW,BOLTON ON DEARNE/STW,61,STW,1,06/07/2020,3.22,2.03504,0,0
BRADFORD ESHOLT/NO 2 STW,BOROUGHBRIDGE/NO 2 STW,62,STW,1,06/07/2020,1.294,0.817808,0,0
BRADFORD ESHOLT/NO 2 STW,BORROWBY/STW,63,STW,1,06/07/2020,0.092,0.058144,0,0
YORK NABURN/STW,BOTTON/STW,64,STW,1,06/07/2020,0.042,0.026544,0,0
BRADFORD ESHOLT/NO 2 STW,BRADFORD ESHOLT/NO 2 STW,65,STC,4,06/07/2020,75,34.59,18.6,26.4
YORK NABURN/STW,BRANDESBURTON/STW,66,STW,1,06/07/2020,0.322,0.203504,0,0
YORK NABURN/STW,BRANDSBY/STW,67,STW,1,06/07/2020,0.002,0.001264,0,0
KNOSTROP/STW,BRAWBY/STW,68,STW,1,06/07/2020,0.022,0.013904,0,0
HULL/STW,BRAYTON JUNCTION/STW,69,STW,1,06/07/2020,0.002,0.001264,0,0
HULL/STW,BRENTWOOD/STW,70,STW,1,06/07/2020,0.02,0.01264,0,0
BRIDLINGTON/STW,BRIDLE COTTAGE/STW,71,STW,1,06/07/2020,0.02,0.01264,0,0
BRIDLINGTON/STW,BRIDLINGTON/STW,72,STC,4,06/07/2020,8,3.369,3.1,0
HUDDERSFIELD/NO 2 STF,HUDDERSFIELD/NO 2 STF,73,STF/D,3,06/07/2020,55,20.187,2,0
BRADFORD ESHOLT/NO 2 STW,BROUGHTON/STW,74,STW,1,06/07/2020,0.014,0.008848,0,0
HULL/STW,BRYHERSTONES/STW,75,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,BUBWITH/STW,76,STW,1,06/07/2020,0.138,0.087216,0,0
BRADFORD ESHOLT/NO 2 STW,BUCKDEN/STW,77,STW,1,06/07/2020,0.024,0.015168,0,0
YORK NABURN/STW,BUGTHORPE/STW,78,STW,1,06/07/2020,0.012,0.007584,0,0
YORK NABURN/STW,BURLEY IN WHARFEDALE/STW,79,STW,1,06/07/2020,1.722,1.088304,0,0
BRADFORD ESHOLT/NO 2 STW,BURN/STW,80,STW,1,06/07/2020,0.048,0.030336,0,0
KNOSTROP/STW,BURNSALL/STW,81,STW,1,06/07/2020,0.022,0.013904,0,0
BRADFORD ESHOLT/NO 2 STW,BURRILL/NO 2 STW,82,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,BURTERSETT/STW,83,STW,1,06/07/2020,0.018,0.011376,0,0
BRADFORD ESHOLT/NO 2 STW,BURTON AGNES SOUTH/STW,84,STW,1,06/07/2020,0.01,0.00632,0,0
BRIDLINGTON/STW,BURTON AGNES/STW,85,STW,1,06/07/2020,0.012,0.007584,0,0
BRIDLINGTON/STW,BURTON FLEMING/STW,86,STW,1,06/07/2020,0.026,0.016432,0,0
BRIDLINGTON/STW,BURTON PIDSEA/STW,87,STW,1,06/07/2020,0.122,0.077104,0,0
HULL/STW,BURYTHORPE/STW,88,STW,1,06/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,BUTTERCRAMBE/STW,89,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,CADEBY/STW,90,STW,1,06/07/2020,0.028,0.017696,0,0
CALDER VALE/STW,CALDER VALE/STW,91,STC,4,06/07/2020,14.5,8.57,4.65,0
HUDDERSFIELD/NO 2 STF,CARLECOTES/STW,92,STW,1,06/07/2020,0.008,0.005056,0,0
KNOSTROP/STW,CARLETON/STW,93,STF/T,2,06/07/2020,0.896,0.448,1,0
BRADFORD ESHOLT/NO 2 STW,CARLTON HUSTHWAITE/STW,94,STW,1,06/07/2020,0.02,0.01264,0,0
BRADFORD ESHOLT/NO 2 STW,CARLTON MELMERBY/STW,95,STW,1,06/07/2020,0.042,0.026544,0,0
BRADFORD ESHOLT/NO 2 STW,CARPERBY/STW,96,STW,1,06/07/2020,0.036,0.022752,0,0
BRADFORD ESHOLT/NO 2 STW,CARTHORPE/STW,97,STW,1,06/07/2020,0.134,0.084688,0,0
BRADFORD ESHOLT/NO 2 STW,CASTLE BOLTON/STW,98,STW,1,06/07/2020,0.06,0.03792,0,0
KNOSTROP/STW,CASTLEFORD/STW,99,STF/D,3,06/07/2020,4.159463309,2.715,2,0
HULL/STW,CATFOSS/STW,100,STW,1,06/07/2020,0.006,0.003792,0,0
BRADFORD ESHOLT/NO 2 STW,CATTAL/STW,101,STW,1,06/07/2020,0.01,0.00632,0,0
BRADFORD ESHOLT/NO 2 STW,CATTERICK VILLAGE/STW,102,STW,1,06/07/2020,0.322,0.203504,0,0
BRADFORD ESHOLT/NO 2 STW,CATTON/STW,103,STW,1,06/07/2020,0.01,0.00632,0,0
LUNDWOOD/STW,CAWTHORNE/STW,104,STW,1,06/07/2020,0.118,0.074576,0,0
BRADFORD ESHOLT/NO 2 STW,CB TERRACE/STW,105,STW,1,06/07/2020,0.002,0.001264,0,0
KNOSTROP/STW,CHAPEL HADDLESEY/STW,106,STW,1,06/07/2020,0.04,0.02528,0,0
SANDALL/STW,CHAPEL LANE/STW,107,STW,1,06/07/2020,0.008,0.005056,0,0
LUNDWOOD/STW,CHEESEBOTTOM/STW,108,STW,1,06/07/2020,1.776,1.122432,0,0
HULL/STW,CHERRY BURTON/STW,109,STW,1,06/07/2020,0.33,0.20856,0,0
BLACKBURN MEADOWS/STW,CHESTERFIELD RD/STW,110,STW,1,06/07/2020,0.004,0.002528,0,0
CALDER VALE/STW,CHEVET TERRACE/NO 2 STW,111,STW,1,06/07/2020,0.004,0.002528,0,0
DEWSBURY/STW,CLAPHOUSE FOLD/STW,112,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,CLAXTON/STW,113,STW,1,06/07/2020,0.026,0.016432,0,0
DEWSBURY/STW,CLAYTON WEST/STW,114,STW,1,06/07/2020,3.002,1.897264,0,0
KNOSTROP/STW,CLAYTON/STW,115,STW,1,06/07/2020,0.03,0.01896,0,0
ALDWARKE/STW,CLIFTON/STW,116,STW,1,06/07/2020,0.024,0.015168,0,0
BRADFORD ESHOLT/NO 2 STW,COLBURN/STW,117,STF/T,2,06/07/2020,4.931506849,1.282,4,0
CALDER VALE/STW,COLD HIENDLEY/STW,118,STW,1,06/07/2020,0.792,0.500544,0,0
BRADFORD ESHOLT/NO 2 STW,COLD KIRBY/NO 2 STW,119,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,COMMONDALE/STW,120,STW,1,06/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,CONEYSTHORPE/STW,121,STW,1,06/07/2020,0.032,0.020224,0,0
BRADFORD ESHOLT/NO 2 STW,CONISTON COLD/STW,122,STW,1,06/07/2020,0.006,0.003792,0,0
BRADFORD ESHOLT/NO 2 STW,CONISTONE/STW,123,STW,1,06/07/2020,0.014,0.008848,0,0
BRADFORD ESHOLT/NO 2 STW,CONSTABLE BURTON/STW,124,STW,1,06/07/2020,0.018,0.011376,0,0
HULL/STW,CORNER COTTAGE/STW,125,STW,1,06/07/2020,0.02,0.01264,0,0
HULL/STW,COUNCIL HOUSES/STW,126,STW,1,06/07/2020,0.02,0.01264,0,0
BRADFORD ESHOLT/NO 2 STW,COUNTERSETT/STW,127,STW,1,06/07/2020,0.002,0.001264,0,0
BRADFORD ESHOLT/NO 2 STW,COWESBY/STW,128,STW,1,06/07/2020,0.004,0.002528,0,0
DEWSBURY/STW,COXLEY LANE/STW,129,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,COXWOLD/STW,130,STW,1,06/07/2020,0.024,0.015168,0,0
BRADFORD ESHOLT/NO 2 STW,CRAKEHALL/STW,131,STW,1,06/07/2020,0.072,0.045504,0,0
YORK NABURN/STW,CRAMBE/STW,132,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,CRAMBECK VILLAGE/STW,133,STW,1,06/07/2020,0.024,0.015168,0,0
LUNDWOOD/STW,CRANE MOOR/STW,134,STW,1,06/07/2020,0.086,0.054352,0,0
YORK NABURN/STW,CRAYKE/STW,135,STW,1,06/07/2020,0.056,0.035392,0,0
KNOSTROP/STW,CRIDLING STUBBS/STW,136,STW,1,06/07/2020,0.022,0.013904,0,0
CALDER VALE/STW,CROFTON/STW,137,STW,1,06/07/2020,1.24,0.78368,0,0
HUDDERSFIELD/NO 2 STF,CROW EDGE/STW,138,STW,1,06/07/2020,0.04,0.02528,0,0
KNOSTROP/STW,CUDWORTH/NO 2 STW,139,STW,1,06/07/2020,1.27,0.80264,0,0
BRADFORD ESHOLT/NO 2 STW,CUNDALL/STW,140,STW,1,06/07/2020,0.016,0.010112,0,0
BRADFORD ESHOLT/NO 2 STW,DALTON ELDMIRE/STW,141,STF/T,2,06/07/2020,0.36,0.18,1,0
BRADFORD ESHOLT/NO 2 STW,DANBY WISKE/STW,142,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,DANBY/STW,143,STW,1,06/07/2020,0.132,0.083424,0,0
OLD WHITTINGTON/STW,DANESMOOR/STW,144,STW,1,06/07/2020,0.952,0.601664,0,0
KNOSTROP/STW,DARFIELD/NO 2 STW,145,STF/T,2,06/07/2020,1.192,0.596,1,0
BRADFORD ESHOLT/NO 2 STW,DARLEY/STW,146,STW,1,06/07/2020,0.276,0.174432,0,0
KNOSTROP/STW,DARTON/STW,147,STW,1,06/07/2020,3.332,2.105824,0,0
CALDER VALE/STW,DAW LANE/STW,148,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,DEIGHTON GROVE/STW,149,STW,1,06/07/2020,0.004,0.002528,0,0
ALDWARKE/STW,DENABY/STW,150,STF/T,2,06/07/2020,4.146,2.073,1,0
BRADFORD ESHOLT/NO 2 STW,DENHOLME/NO 2 STW,151,STW,1,06/07/2020,0.46,0.29072,0,0
DEWSBURY/STW,DEWSBURY/STW,152,STF/D,3,06/07/2020,30,22.653,0.5,0
YORK NABURN/STW,DISHFORTH/STW,153,STW,1,06/07/2020,0.088,0.055616,0,0
BRADFORD ESHOLT/NO 2 STW,DOWLEY GAP/STW,154,STW,1,06/07/2020,5.138,3.247216,0,0
BRADFORD ESHOLT/NO 2 STW,DOWNHOLME/STW,155,STW,1,06/07/2020,0.006,0.003792,0,0
BRADFORD ESHOLT/NO 2 STW,DRAUGHTON/STW,156,STW,1,06/07/2020,0.048,0.030336,0,0
KNOSTROP/STW,DRAX/STW,157,STW,1,06/07/2020,0.048,0.030336,0,0
HULL/STW,DRIFFIELD/STW,158,STF/T,2,06/07/2020,2.032,1.016,1,0
OLD WHITTINGTON/STW,DRONFIELD/STW,159,STW,1,06/07/2020,3.62,2.28784,0,0
YORK NABURN/STW,DUGGLEBY/STW,160,STW,1,06/07/2020,0.024,0.015168,0,0
HUDDERSFIELD/NO 2 STF,DUNFORD BRIDGE/STW,161,STW,1,06/07/2020,0.006,0.003792,0,0
BLACKBURN MEADOWS/STW,DUNGWORTH/STW,162,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,DUNKESWICK/STW,163,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,EARBY/STW,164,STW,1,06/07/2020,1.028,0.649696,0,0
HULL/STW,EASINGTON/STW,165,STW,1,06/07/2020,0.108,0.068256,0,0
YORK NABURN/STW,EASINGWOLD/STW,166,STW,1,06/07/2020,0.79,0.49928,0,0
YORK NABURN/STW,EAST BARNBY/STW,167,STW,1,06/07/2020,0.01,0.00632,0,0
BRADFORD ESHOLT/NO 2 STW,EAST CARLTON/STW,168,STW,1,06/07/2020,0.006,0.003792,0,0
BRADFORD ESHOLT/NO 2 STW,EAST COWTON/STW,169,STW,1,06/07/2020,0.068,0.042976,0,0
BRADFORD ESHOLT/NO 2 STW,EAST HAUXWELL/STW,170,STW,1,06/07/2020,0.006,0.003792,0,0
HULL/STW,EAST HESLERTON/STW,171,STW,1,06/07/2020,0.046,0.029072,0,0
BRADFORD ESHOLT/NO 2 STW,EAST MARTON/STW,172,STW,1,06/07/2020,0.03,0.01896,0,0
HUDDERSFIELD/NO 2 STF,EASTWOOD/STW,173,STW,1,06/07/2020,1.994,1.260208,0,0
KNOSTROP/STW,ECCUP/STW,174,STW,1,06/07/2020,0.002,0.001264,0,0
KNOSTROP/STW,ECCUP/WTW STW,175,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,EGGBOROUGH/STW,176,STW,1,06/07/2020,0.77,0.48664,0,0
YORK NABURN/STW,EGTON BRIDGE/STW,177,STW,1,06/07/2020,0.048,0.030336,0,0
BRADFORD ESHOLT/NO 2 STW,ELLERBECK/STW,178,STW,1,06/07/2020,0.002,0.001264,0,0
HULL/STW,ELLERKER/NO 2 STW,179,STW,1,06/07/2020,1.422,0.898704,0,0
YORK NABURN/STW,ELLERTON/STW,180,STW,1,06/07/2020,0.006,0.003792,0,0
BRADFORD ESHOLT/NO 2 STW,ELLINGSTRING/STW,181,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,ELVINGTON/STW,182,STW,1,06/07/2020,0.172,0.108704,0,0
YORK NABURN/STW,ELVINGTON/WTW STW,183,STW,1,06/07/2020,0.02,0.01264,0,0
BRADFORD ESHOLT/NO 2 STW,EMBSAY/STW,184,STW,1,06/07/2020,1.43,0.90376,0,0
YORK NABURN/STW,ESCRICK/STW,185,STW,1,06/07/2020,0.236,0.149152,0,0
BLACKBURN MEADOWS/STW,EWDEN VILLAGE/STW,186,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,FARLINGTON/STW,187,STW,1,06/07/2020,0.006,0.003792,0,0
BRADFORD ESHOLT/NO 2 STW,FEARBY/STW,188,STW,1,06/07/2020,0.026,0.016432,0,0
BRADFORD ESHOLT/NO 2 STW,FELIXKIRK PIPER HILL/STW,189,STW,1,06/07/2020,0.002,0.001264,0,0
HULL/STW,FILEY/STW,190,STF/T,2,06/07/2020,1.484,0.742,1,0
BRADFORD ESHOLT/NO 2 STW,FINGHALL/STW,191,STW,1,06/07/2020,0.024,0.015168,0,0
YORK NABURN/STW,FIRBY/STW,192,STW,1,06/07/2020,0.004,0.002528,0,0
BRIDLINGTON/STW,FLAMBOROUGH VILLAGE/STW,193,STF/T,2,06/07/2020,0.706,0.353,1,0
BRADFORD ESHOLT/NO 2 STW,FLAPPIT SPRING/STW,194,STW,1,06/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,FLASK INN/STW,195,STW,1,06/07/2020,0.042,0.026544,0,0
BRADFORD ESHOLT/NO 2 STW,FLAWITH/STW,196,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,FLAXTON/STW,197,STW,1,06/07/2020,0.034,0.021488,0,0
KNOSTROP/STW,FOGGATHORPE/STW,198,STW,1,06/07/2020,0.026,0.016432,0,0
HULL/STW,FOLKTON/STW,199,STW,1,06/07/2020,0.396,0.250272,0,0
HULL/STW,FOSTON ON THE WOLDS/STW,200,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,FOSTON/STW,201,STW,1,06/07/2020,0.05,0.0316,0,0
BRADFORD ESHOLT/NO 2 STW,FOULRIDGE/STW,202,STW,1,06/07/2020,0.166,0.104912,0,0
HULL/STW,FOXHOLES/STW,203,STW,1,06/07/2020,0.032,0.020224,0,0
YORK NABURN/STW,FRIDAYTHORPE/STW,204,STW,1,06/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,GANTON/STW,205,STW,1,06/07/2020,0.022,0.013904,0,0
DEWSBURY/STW,GARFORTH/STW,206,STW,1,06/07/2020,6.13,3.87416,0,0
BRADFORD ESHOLT/NO 2 STW,GARGRAVE/STW,207,STW,1,06/07/2020,0.294,0.185808,0,0
HULL/STW,GARTON WOLDS/STW,208,STW,1,06/07/2020,0.036,0.022752,0,0
BRADFORD ESHOLT/NO 2 STW,GAYLES/STW,209,STW,1,06/07/2020,0.028,0.017696,0,0
HUDDERSFIELD/NO 2 STF,GIBB LANE/STW,210,STW,1,06/07/2020,0.004,0.002528,0,0
HULL/STW,GILBERDYKE/STW,211,STW,1,06/07/2020,0.442,0.279344,0,0
YORK NABURN/STW,GILLAMOOR/STW,212,STW,1,06/07/2020,0.032,0.020224,0,0
YORK NABURN/STW,GILLING EAST/STW,213,STW,1,06/07/2020,0.036,0.022752,0,0
BRADFORD ESHOLT/NO 2 STW,GILLING WEST/STW,214,STW,1,06/07/2020,0.052,0.032864,0,0
YORK NABURN/STW,GLAISDALE/STW,215,STW,1,06/07/2020,0.06,0.03792,0,0
YORK NABURN/STW,GOATHLAND/NO 3 STW,216,STW,1,06/07/2020,0.054,0.034128,0,0
DEWSBURY/STW,GOOLE RAWCLIFFE/STW,217,STW,1,06/07/2020,0.256,0.161792,0,0
KNOSTROP/STW,GOOLE/STW,218,STF/D,3,06/07/2020,2.78500667,1.471,0,0
DEWSBURY/STW,GRANGE LANE/STW,219,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,GRANTLEY/STW,220,STW,1,06/07/2020,0.014,0.008848,0,0
BRADFORD ESHOLT/NO 2 STW,GRASSINGTON/STW,221,STW,1,06/07/2020,0.284,0.179488,0,0
YORK NABURN/STW,GREAT BARUGH/STW,222,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,GREAT EDSTONE/STW,223,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,GREAT HABTON/STW,224,STW,1,06/07/2020,0.026,0.016432,0,0
HULL/STW,GREAT HATFIELD/NO 2 STW,225,STW,1,06/07/2020,0.018,0.011376,0,0
BRADFORD ESHOLT/NO 2 STW,GREAT LANGTON/STW,226,STW,1,06/07/2020,0.012,0.007584,0,0
BRADFORD ESHOLT/NO 2 STW,GREAT SMEATON/NO 1 STW,227,STW,1,06/07/2020,0.03,0.01896,0,0
BRADFORD ESHOLT/NO 2 STW,GREAT SMEATON/NO 2 STW,228,STW,1,06/07/2020,0.002,0.001264,0,0
LUNDWOOD/STW,GRIMETHORPE/STW,229,STW,1,06/07/2020,1.826,1.154032,0,0
HULL/STW,GRIMSTON/STW,230,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,GRIMWITH/STW,231,STW,1,06/07/2020,0.02,0.01264,0,0
BRADFORD ESHOLT/NO 2 STW,GRINTON EAST/STW,232,STW,1,06/07/2020,0.006,0.003792,0,0
BRADFORD ESHOLT/NO 2 STW,GRINTON WEST/STW,233,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,GROSMONT/STW,234,STW,1,06/07/2020,0.044,0.027808,0,0
BRADFORD ESHOLT/NO 2 STW,GUNNERSIDE/NO 2 STW,235,STW,1,06/07/2020,0.028,0.017696,0,0
BRADFORD ESHOLT/NO 2 STW,HACKFORTH/NO 2 STW,236,STW,1,06/07/2020,0.012,0.007584,0,0
LUNDWOOD/STW,HAIGH LANE/STW,237,STW,1,06/07/2020,0.004,0.002528,0,0
DEWSBURY/STW,HAIGH/STW,238,STW,1,06/07/2020,0.022,0.013904,0,0
BRIDLINGTON/STW,HAISTHORPE/STW,239,STW,1,06/07/2020,0.012,0.007584,0,0
HUDDERSFIELD/NO 2 STF,HALIFAX COPLEY/STW,240,STF/D,3,06/07/2020,27.84588149,13.33,0,0
BRADFORD ESHOLT/NO 2 STW,HALLAS BRIDGE/STW,241,STW,1,06/07/2020,0.004,0.002528,0,0
KNOSTROP/STW,HAMBLETON/STW,242,STW,1,06/07/2020,0.644,0.407008,0,0
HUDDERSFIELD/NO 2 STF,HARDEN/STW,243,STW,1,06/07/2020,0.002,0.001264,0,0
BRADFORD ESHOLT/NO 2 STW,HARDRAW/STW,244,STW,1,06/07/2020,0.008,0.005056,0,0
YORK NABURN/STW,HARDSTRUGGLE COTTAGE/STW,245,STW,1,06/07/2020,0.002,0.001264,0,0
BRADFORD ESHOLT/NO 2 STW,HARECROFT/STW,246,STW,1,06/07/2020,0.016,0.010112,0,0
KNOSTROP/STW,HARLEY/STW,247,STW,1,06/07/2020,0.09,0.05688,0,0
ALDWARKE/STW,HARLINGTON/STW,248,STW,1,06/07/2020,0.304,0.192128,0,0
YORK NABURN/STW,HAROME/STW,249,STW,1,06/07/2020,0.224,0.141568,0,0
BRADFORD ESHOLT/NO 2 STW,HARROGATE NORTH/STW,250,STF/T,2,06/07/2020,7.036,3.518,1,0
YORK NABURN/STW,HARROGATE SOUTH/STW,251,STF/D,3,06/07/2020,4.510997752,2.537,0,0
SANDALL/STW,HARTON/STW,252,STW,1,06/07/2020,0.012,0.007584,0,0
YORK NABURN/STW,HAWES/STW,253,STW,1,06/07/2020,0.188,0.118816,0,0
YORK NABURN/STW,HAXBY WALBUTTS/STW,254,STW,1,06/07/2020,2.884,1.822688,0,0
HULL/STW,HAYBURN WYKE HOTEL/STW,255,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,HAYTON/STW,256,STW,1,06/07/2020,0.008,0.005056,0,0
